model_name,input_window,output_window,n_params,mae_train,mae_val,mae_test
cnn,5,5,39703,0.005345419049263,0.0054955212399363,0.0054120132699608
cnn,10,1,39703,0.0116045251488685,0.0118218474090099,0.0115596409887075
cnn,10,90,39703,0.0012337451335042,0.0012219261843711,0.001247803447768
cnn,30,30,39703,0.0021748468279838,0.0021413774229586,0.0021464875899255
cnn,90,5,39703,0.0053703915327787,0.0054037938825786,0.0053305174224078
conv1d,5,1,36807,0.0118143446743488,0.0105708697810769,0.0122882472351193
conv1d,5,30,25175,0.0021610944531857,0.0021776801440864,0.0022015455178916
conv1d,5,90,14567,0.0012641039211302,0.0011087286984547,0.0012709097936749
conv1d,10,5,118071,0.0053730187937617,0.0053669647313654,0.0052949143573641
conv1d,10,30,39703,0.0022052603308111,0.0019427480874583,0.0023210702929645
conv1d,30,1,111959,0.011637469753623,0.0115447025746107,0.011648952960968
conv1d,30,5,42647,0.00549155799672,0.004740894306451,0.0056027127429842
conv1d,30,90,37575,0.0012635383754968,0.0009226442198269,0.0012693343451246
conv1d,90,1,128279,0.0118045648559927,0.010564524680376,0.0123164560645818
conv1d,90,30,36807,0.0021978490985929,0.001941702212207,0.0023275921121239
conv1d,90,90,341271,0.0012514523696154,0.0011049811728298,0.0012711327290162
lstm_gru,5,1,120727,0.0115998489782214,0.0117433033883571,0.011535620316863
lstm_gru,5,90,120727,0.0012341500259935,0.0012312275357544,0.0012371022021397
lstm_gru,10,30,120727,0.0021683445665985,0.0021779765374958,0.0021523064933717
lstm_gru,30,5,120727,0.0053586130961775,0.0053482432849705,0.0054396684281528
lstm_gru,90,1,120727,0.0115587003529071,0.0118737565353512,0.0117068905383348
lstm_gru,90,90,120727,0.0012298567453399,0.0012182465288788,0.0012096115387976
mixto,5,1,60055,0.0116259967908263,0.0116501720622181,0.011536001227796
mixto,5,5,60055,0.0053620543330907,0.0054085771553218,0.0053492500446736
mixto,5,30,29639,0.0022034680005162,0.0019447084050625,0.0023208456113934
mixto,5,90,60055,0.0012371226912364,0.0012321496615186,0.0012140157632529
mixto,10,1,74775,0.0116245718672871,0.0115669416263699,0.0116296922788023
mixto,10,5,32359,0.0054864916019141,0.0047454643063247,0.0056013758294284
mixto,10,30,74775,0.002168252132833,0.0021874278318136,0.0021522720344364
mixto,10,90,74775,0.0012352060293778,0.0012088685762137,0.0012444963213056
mixto,30,1,50231,0.0117903007194399,0.0105774821713566,0.012301699258387
mixto,30,5,133655,0.0053677884861826,0.0052609820850193,0.0054405000992119
mixto,30,30,133655,0.0021625685039907,0.0022169935982674,0.0021789455786347
mixto,30,90,91351,0.0012580238981172,0.0011110489722341,0.0012679011560976
mixto,90,1,310295,0.0116001730784773,0.0118145169690251,0.0117069026455283
mixto,90,5,310295,0.0053708008490502,0.005370678845793,0.0053488076664507
mixto,90,30,114831,0.0021955030970275,0.0019433954730629,0.0023250477388501
mixto,90,90,310295,0.0012287282152101,0.0012078585568815,0.0012202322250232
mlp,5,1,65559,0.0115741323679685,0.0119150625541806,0.0117182284593582
mlp,5,5,24599,0.0054906154982745,0.0047441651113331,0.0055911121889948
mlp,5,30,10263,0.0022004728671163,0.0016995394835248,0.0023308100644499
mlp,5,90,65559,0.0012346922885626,0.001212335540913,0.0012491691159084
mlp,10,1,32535,0.0117833130061626,0.0105830542743206,0.0122835263609886
mlp,10,5,96023,0.0053225057199597,0.0047696228139102,0.0056450609117746
mlp,10,30,94999,0.0021680663339793,0.0021876618266105,0.0021520289592444
mlp,10,90,5313,0.0012471784139052,0.0011210010852664,0.0012731015449389
mlp,30,1,523031,0.0116686318069696,0.0106153488159179,0.0123797757551074
mlp,30,5,212759,0.0053673768416047,0.0052609001286327,0.0054397205822169
mlp,30,30,221079,0.0021574061829596,0.0022369539365172,0.0022003238555043
mlp,30,90,788759,0.0012579304166138,0.0011114727240055,0.0012693781172856
mlp,90,1,566039,0.0116454390808939,0.0117299649864435,0.0114164175465703
mlp,90,5,566039,0.0053711482323706,0.0053707370534539,0.0053490404970943
mlp,90,30,1229591,0.0021954786498099,0.0019437036244198,0.0023248910438269
mlp,90,90,566039,0.0012297380017116,0.0012019949499517,0.001216122880578
rnn,5,5,66583,0.0054864832200109,0.0047434344887733,0.0055993520654737
rnn,5,30,28183,0.0021704607643187,0.0021215041633695,0.0021930721122771
rnn,10,1,66583,0.0117863593623042,0.0105769224464893,0.0122984256595373
rnn,10,5,28183,0.0053568272851407,0.0054131220094859,0.0053832386620342
rnn,10,90,96503,0.0012610821286216,0.0011110956547781,0.0012662787921726
rnn,30,1,28183,0.0116117540746927,0.0116872619837522,0.0116509702056646
rnn,30,30,175671,0.0022045362275093,0.0019443185301497,0.0023218903224915
rnn,30,90,28183,0.0012308232253417,0.0012164510553702,0.0012540484312921
rnn,90,5,187287,0.0054915356449782,0.0047408267855644,0.0056142383255064
rnn,90,30,28183,0.0021596574224531,0.0022034982684999,0.0021511896047741
