modelo,v_in,v_out,n_params,mae_train,mae_val,mae_test
trivial,5,1,0,0.013235297985374928,0.01008683629333973,0.013656453229486942
trivial,5,5,0,0.008007878437638283,0.006053791381418705,0.008062600158154964
trivial,5,30,0,0.005987979006022215,0.004587674513459206,0.0061710732989013195
trivial,5,90,0,0.0056603578850626945,0.004222923424094915,0.005763778928667307
trivial,10,1,0,0.01259874738752842,0.00962931290268898,0.012994026765227318
trivial,10,5,0,0.006854938808828592,0.005276960786432028,0.0069315773434937
trivial,10,30,0,0.004490724764764309,0.0035309134982526302,0.0047425501979887486
trivial,10,90,0,0.004065902438014746,0.003075509564951062,0.00422615185379982
trivial,30,1,0,0.012114865705370903,0.009247645735740662,0.012555284425616264
trivial,30,5,0,0.005964480806142092,0.004578903317451477,0.006180800497531891
trivial,30,30,0,0.0031759648118168116,0.0025229020975530148,0.0034976163879036903
trivial,30,90,0,0.0025523127987980843,0.0019445634679868817,0.002720167860388756
trivial,90,1,0,0.011950443498790264,0.0090921800583601,0.012386751361191273
trivial,90,5,0,0.005635000299662352,0.004278216976672411,0.005818770732730627
trivial,90,30,0,0.002544269897043705,0.001956645864993334,0.002761075273156166
trivial,90,90,0,0.0017840367509052157,0.0012758877128362656,0.0018239680211991072
